State,SA4,At_least_one_dose_15,Fully_vaccinated_15,date
Queensland,Toowoomba,0.515,0.317,2021-08-30
Queensland,Townsville,0.494,0.32,2021-08-30
Queensland,Wide Bay,0.525,0.314,2021-08-30
South Australia,Adelaide - Central and Hills,0.588,0.396,2021-08-30
South Australia,Adelaide - South,0.571,0.386,2021-08-30
South Australia,Adelaide - West,0.476,0.295,2021-08-30
South Australia,Barossa - Yorke - Mid North,0.551,0.334,2021-08-30
South Australia,Adelaide - North,0.452,0.284,2021-08-30
South Australia,South Australia - South East,0.528,0.32,2021-08-30
Victoria,Geelong,0.663,0.432,2021-08-30
South Australia,South Australia - Outback,0.48,0.303,2021-08-30
Victoria,Ballarat,0.611,0.401,2021-08-30
Tasmania,West and North West,0.526,0.357,2021-08-30
Victoria,Bendigo,0.652,0.431,2021-08-30
Tasmania,Launceston and North East,0.615,0.427,2021-08-30
Tasmania,Hobart,0.612,0.439,2021-08-30
Tasmania,South East,0.557,0.385,2021-08-30
Queensland,Brisbane - East,0.58,0.367,2021-09-06
New South Wales,Sydney - Outer West and Blue Mountains,0.785,0.388,2021-09-06
New South Wales,Sydney - Parramatta,0.784,0.381,2021-09-06
New South Wales,Sydney - Ryde,0.786,0.476,2021-09-06
New South Wales,Sydney - South West,0.779,0.37,2021-09-06
New South Wales,Sydney - Sutherland,0.814,0.49,2021-09-06
Northern Territory,Darwin,0.631,0.44,2021-09-06
Northern Territory,Northern Territory - Outback,0.464,0.336,2021-09-06
Queensland,Brisbane - North,0.599,0.396,2021-09-06
Queensland,Logan - Beaudesert,0.43,0.266,2021-09-06
Queensland,Brisbane - West,0.661,0.449,2021-09-06
Queensland,Brisbane Inner City,0.607,0.409,2021-09-06
Queensland,Cairns,0.55,0.374,2021-09-06
Queensland,Darling Downs - Maranoa,0.559,0.319,2021-09-06
Queensland,Central Queensland,0.451,0.284,2021-09-06
Queensland,Gold Coast,0.501,0.331,2021-09-06
Queensland,Ipswich,0.476,0.298,2021-09-06
New South Wales,Sydney - Outer South West,0.801,0.407,2021-09-06
Queensland,Brisbane - South,0.563,0.375,2021-09-06
New South Wales,Sydney - Northern Beaches,0.803,0.467,2021-09-06
